,Abbreviation,Educational Nonprofits,Population
4,CA,24044,38965193
43,TX,20668,30503301
34,NY,13158,19571216
9,FL,12026,22610726
14,IL,10276,12549689
35,OH,9604,11785935
38,PA,8814,12961683
27,NC,7638,10835491
10,GA,7571,11029227
31,NJ,7459,9290841
15,IN,7027,6862199
45,VA,6598,8715698
24,MO,5964,6196156
19,MA,5941,7001399
22,MI,5803,10037261
47,WA,5530,7812880
20,MD,5200,6180253
48,WI,4413,5910955
42,TN,4315,7126489
23,MN,4222,5737915
5,CO,4085,5877610
3,AZ,3703,7431344
1,AL,3115,5108468
6,CT,3113,3617176
25,MS,3075,2939690
37,OR,3025,4233358
40,SC,2962,5373555
36,OK,2830,4053824
17,KY,2733,4526154
12,IA,2720,3207004
18,LA,2474,4573749
16,KS,2083,2940546
44,UT,1873,3417734
7,DC,1850,678972
33,NV,1688,3194176
29,NE,1676,1978379
2,AR,1675,3067732
30,NH,1305,1402054
32,NM,1284,2114371
13,ID,1164,1964726
26,MT,1157,1132812
21,ME,1106,1395722
49,WV,986,1770071
11,HI,967,1435138
8,DE,939,1031890
39,RI,878,1095962
46,VT,740,647464
41,SD,646,919318
50,WY,601,584057
0,AK,589,733406
28,ND,584,783926
